username,following,follower,link,avatar_url,name,bio,public_repos,location
defunkt,Yes,No,https://github.com/defunkt,https://avatars.githubusercontent.com/u/2?v=4,Chris Wanstrath,🍔,107,
tj,Yes,No,https://github.com/tj,https://avatars.githubusercontent.com/u/25254?v=4,TJ Holowaychuk,,296,"London, UK"
feross,Yes,No,https://github.com/feross,https://avatars.githubusercontent.com/u/121766?v=4,Feross Aboukhadijeh,"• Founder + CEO of Socket (@SocketDev) 
• Started @webtorrent and @standard 
• 100+ open source packages on npm
• Stanford lecturer for Web Security",148,"Stanford, CA"
mayeaux,No,Yes,https://github.com/mayeaux,https://avatars.githubusercontent.com/u/7200471?v=4,Anthony,Working on software professionally since 2013. Focusing mostly on the web/JavaScript. Recent interest in AI and ASR.,204,
joshjung,Yes,Yes,https://github.com/joshjung,https://avatars.githubusercontent.com/u/913181?v=4,Joshua Jung,Full-stack expert and owner of Guidestar Digital.,74,"Austin, TX"
yegor256,Yes,No,https://github.com/yegor256,https://avatars.githubusercontent.com/u/526301?v=4,Yegor Bugayenko,"Author of ""Elegant Objects"" book series (buy them on Amazon); architect of @objectionary; founder of @zerocracy; creator of @zold-io",192,China
MalavVyas,No,Yes,https://github.com/MalavVyas,https://avatars.githubusercontent.com/u/16465933?v=4,Malav Vyas,Young infosec researcher and machine learning enthusiast,56,New York
learnbyexample,Yes,No,https://github.com/learnbyexample,https://avatars.githubusercontent.com/u/17766317?v=4,Sundeep Agarwal,"Addicted to writing books and teaching. Likes fantasy books, comics and anime",33,
dalindev,No,Yes,https://github.com/dalindev,https://avatars.githubusercontent.com/u/6508763?v=4,Dalin Huang,"“Stay Hungry, Stay Foolish”",34,"Ottawa, Earth #7"
threepointone,Yes,No,https://github.com/threepointone,https://avatars.githubusercontent.com/u/18808?v=4,Sunil Pai,,302,"London, England"
benawad,Yes,No,https://github.com/benawad,https://avatars.githubusercontent.com/u/7872329?v=4,Ben Awad,"React.js, Typescript, Node.js, PostgreSQL",255,"Austin, TX"
dashersw,Yes,No,https://github.com/dashersw,https://avatars.githubusercontent.com/u/698308?v=4,Armagan Amcalar,"Software architect, leader, lecturer, public speaker, mentor, entrepreneur, JS evangelist, electronics engineer, guitarist, singer, radio host.",204,Berlin
